code,province,city,elementary_school_count,kindergarten_count,university_count
10000,Seoul,Seoul,607,830,48
10010,Seoul,Gangnam-gu,33,38,0
10020,Seoul,Gangdong-gu,27,32,0
10030,Seoul,Gangbuk-gu,14,21,0
10040,Seoul,Gangseo-gu,36,56,1
10050,Seoul,Gwanak-gu,22,33,1
10060,Seoul,Gwangjin-gu,22,33,3
10070,Seoul,Guro-gu,26,34,3
10080,Seoul,Geumcheon-gu,18,19,0
10090,Seoul,Nowon-gu,42,66,6
10100,Seoul,Dobong-gu,23,26,1
10110,Seoul,Dongdaemun-gu,21,31,4
10120,Seoul,Dongjak-gu,21,34,3
10130,Seoul,Mapo-gu,22,24,2
10140,Seoul,Seodaemun-gu,19,25,6
10150,Seoul,Seocho-gu,24,27,1
10160,Seoul,Seongdong-gu,21,30,2
10170,Seoul,Seongbuk-gu,29,49,6
10180,Seoul,Songpa-gu,40,51,1
10190,Seoul,Yangcheon-gu,30,43,0
10200,Seoul,Yeongdeungpo-gu,23,39,0
10210,Seoul,Yongsan-gu,15,13,1
10220,Seoul,Eunpyeong-gu,31,44,1
10230,Seoul,Jongno-gu,13,17,3
10240,Seoul,Jung-gu,12,14,2
10250,Seoul,Jungnang-gu,23,31,1
11000,Busan,Busan,304,408,22
11010,Busan,Gangseo-gu,17,21,0
11020,Busan,Geumjeong-gu,22,28,4
11030,Busan,Gijang-gun,21,35,0
11040,Busan,Nam-gu,21,27,4
11050,Busan,Dong-gu,7,9,0
11060,Busan,Dongnae-gu,22,31,0
11070,Busan,Busanjin-gu,32,43,3
11080,Busan,Buk-gu,27,37,1
11090,Busan,Sasang-gu,21,31,3
11100,Busan,Saha-gu,26,42,2
11110,Busan,Seo-gu,11,9,0
11120,Busan,Suyeong-gu,10,22,0
11130,Busan,Yeonje-gu,16,18,2
11140,Busan,Yeongdo-gu,14,12,2
11150,Busan,Jung-gu,4,4,0
11160,Busan,Haeundae-gu,33,39,1
12000,Daegu,Daegu,229,355,11
12010,Daegu,Nam-gu,11,15,2
12020,Daegu,Dalseo-gu,55,78,3
12030,Daegu,Dalseong-gun,32,47,1
12040,Daegu,Dong-gu,32,58,0
12050,Daegu,Buk-gu,38,73,4
12060,Daegu,Seo-gu,17,23,0
12070,Daegu,Suseong-gu,34,49,1
12080,Daegu,Jung-gu,10,12,0
